dataset,index,span_index,gold_tokens,answer_tokens,answer,snippet,positive_gold_mass,negative_gold_mass,DT_recall,FT_recall,DT_sentence_positive_recall,DT_sentence_absolute_recall,FT_sentence_positive_recall,shuffled_DT_sentence_recall,DT_scope_recall,DT_scope_sentence_recall,FT_scope_recall,FT_scope_sentence_recall
niah_mq_q2,0,0,20,7,5443951,One of the special magic numbers for deafening-opium is: 5443951.,53.74685287475586,0.0,0.6,0.15,0.95,0.95,0.0,0.0,0.6,0.95,0.15,0.0
niah_mq_q2,0,1,20,7,8698256,One of the special magic numbers for mammoth-barber is: 8698256.,25.04926872253418,0.0,0.25,0.2,0.0,0.0,0.35,0.0,0.25,0.0,0.2,0.35
niah_mq_q2,1,0,19,7,4679591,One of the special magic numbers for late-kendo is: 4679591.,50.206539154052734,0.0,1.0,0.7894736842105263,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,1.0,0.9473684210526315,0.7894736842105263,0.9473684210526315
niah_mq_q2,1,1,19,7,7700828,One of the special magic numbers for solid-few is: 7700828.,23.2791690826416,0.0,0.9473684210526315,0.7894736842105263,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.7368421052631579,0.9473684210526315,0.9473684210526315,0.7894736842105263,0.9473684210526315
niah_mq_q2,2,0,19,7,2839607,One of the special magic numbers for annoying-decimal is: 2839607.,23.529403686523438,0.898227870464325,0.8421052631578947,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,0.8421052631578947,0.9473684210526315,0.8947368421052632,0.9473684210526315
niah_mq_q2,2,1,19,7,3684052,One of the special magic numbers for depressed-tweet is: 3684052.,31.567903518676758,0.0,1.0,0.7368421052631579,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,1.0,0.9473684210526315,0.7368421052631579,0.9473684210526315
niah_mq_q2,3,0,19,7,5924115,One of the special magic numbers for colorful-termination is: 5924115.,47.07368850708008,0.0,0.7368421052631579,0.15789473684210525,0.9473684210526315,0.9473684210526315,0.0,0.0,0.7368421052631579,0.9473684210526315,0.15789473684210525,0.0
niah_mq_q2,3,1,19,7,6707197,One of the special magic numbers for tested-familiar is: 6707197.,24.096057891845703,0.0,0.21052631578947367,0.2631578947368421,0.0,0.0,0.42105263157894735,0.0,0.21052631578947367,0.0,0.2631578947368421,0.42105263157894735
niah_mq_q2,4,0,19,7,3997281,One of the special magic numbers for pumped-sill is: 3997281.,55.51437759399414,0.0,1.0,0.7368421052631579,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.05263157894736842,1.0,0.9473684210526315,0.7368421052631579,0.9473684210526315
niah_mq_q2,4,1,20,7,5418934,One of the special magic numbers for woozy-oxygen is: 5418934.,30.701684951782227,0.0,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.95
niah_mq_q2,5,0,20,7,9897858,One of the special magic numbers for dirty-prosecution is: 9897858.,52.12446212768555,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0
niah_mq_q2,5,1,19,7,7273233,One of the special magic numbers for depressed-tunic is: 7273233.,23.36224365234375,0.0,1.0,0.8421052631578947,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.9473684210526315,0.8421052631578947,0.9473684210526315
niah_mq_q2,6,0,18,7,9153566,One of the special magic numbers for bright-system is: 9153566.,19.71862030029297,0.0,0.2777777777777778,0.3888888888888889,0.0,0.0,0.5,0.9444444444444444,0.2777777777777778,0.0,0.3888888888888889,0.5
niah_mq_q2,6,1,19,7,9937326,One of the special magic numbers for billowy-method is: 9937326.,40.522315979003906,0.0,0.631578947368421,0.10526315789473684,0.9473684210526315,0.5263157894736842,0.0,0.05263157894736842,0.631578947368421,0.9473684210526315,0.10526315789473684,0.0
niah_mq_q2,7,0,19,7,4374754,One of the special magic numbers for faint-smolt is: 4374754.,51.21070098876953,0.0,1.0,0.631578947368421,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0,1.0,0.9473684210526315,0.631578947368421,0.9473684210526315
niah_mq_q2,7,1,20,7,8099076,One of the special magic numbers for resolute-dynamo is: 8099076.,27.218992233276367,0.0,0.95,0.85,0.95,0.95,0.95,0.95,0.95,0.95,0.85,0.95
niah_mq_q2,8,0,19,7,4860684,One of the special magic numbers for spectacular-deer is: 4860684.,24.35049057006836,0.37509816884994507,0.3157894736842105,0.3157894736842105,0.0,0.0,0.47368421052631576,0.0,0.3157894736842105,0.0,0.3157894736842105,0.47368421052631576
niah_mq_q2,8,1,19,7,4694634,One of the special magic numbers for spectacular-hail is: 4694634.,41.7928581237793,0.0,0.5789473684210527,0.15789473684210525,1.0,1.0,0.0,0.0,0.5789473684210527,1.0,0.15789473684210525,0.0
niah_mq_q2,9,0,19,7,8930103,One of the special magic numbers for worried-colt is: 8930103.,51.23249053955078,0.0,0.6842105263157895,0.10526315789473684,0.9473684210526315,0.9473684210526315,0.0,0.0,0.6842105263157895,0.9473684210526315,0.10526315789473684,0.0
niah_mq_q2,9,1,21,7,3219824,One of the special magic numbers for fallacious-spatula is: 3219824.,22.284595489501953,0.1309034824371338,0.19047619047619047,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.19047619047619047,0.0,0.2857142857142857,0.2857142857142857
niah_mq_q2,10,0,20,7,2651177,One of the special magic numbers for uneven-glutamate is: 2651177.,51.38966751098633,0.0,0.6,0.15,0.95,0.95,0.0,0.0,0.6,0.95,0.15,0.0
niah_mq_q2,10,1,19,7,1908841,One of the special magic numbers for yellow-dhow is: 1908841.,27.490737915039062,0.0,0.21052631578947367,0.2631578947368421,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.2631578947368421,0.0
niah_mq_q2,11,0,20,7,8761611,One of the special magic numbers for guiltless-exposition is: 8761611.,28.032236099243164,0.529174268245697,0.3,0.35,0.0,0.0,0.3,0.0,0.3,0.0,0.35,0.3
niah_mq_q2,11,1,20,7,2264748,One of the special magic numbers for futuristic-show-stopper is: 2264748.,51.041446685791016,0.0,0.7,0.3,0.95,0.95,0.0,0.05,0.7,0.95,0.3,0.0
niah_mq_q2,12,0,19,7,3762152,One of the special magic numbers for aware-judo is: 3762152.,53.05350875854492,0.0,0.5789473684210527,0.10526315789473684,1.0,1.0,0.0,0.0,0.5789473684210527,1.0,0.10526315789473684,0.0
